,Subject,obs,block,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty
46,126,47,2,0.003781840803711911,-1.1518394219832757,70.37344229321644,30.3,35.5,4.9291002368155326,18.827658391150575,0.044663920803300894
47,126,48,2,0.0034240829147274,-0.19096456422142602,18.362615100487645,96.2,0.0,9.627741679382861,19.217561460003164,0.3038385534723292
48,126,49,2,0.03239377777982666,-0.4989943517013845,42.560204580165475,47.1,19.0,6.870501599146317,18.025764559176203,0.06031217278584347
49,126,50,2,0.004636524852503321,-0.209662599138945,20.884650808978556,99.6,0.0,8.085832876757816,19.735694275380734,0.26382274912774956
50,126,51,3,0.03661518406693576,-2.5874296419533827,64.18268127899279,7.8,44.0,4.4245714604832,14.046964697700842,0.10521148889147655
51,126,52,3,0.00517096907520509,-0.8893541665880802,51.79325787156424,29.9,25.2,4.2391667836405595,16.42440537283102,0.047181624181267534
52,126,53,3,0.0023721670781351456,-0.17058944906455256,11.352882841579481,66.6,0.0,5.103926247583169,14.50012868762258,0.387648311193728
53,126,54,3,0.004616446453378664,-1.107022069023954,75.59316188154995,33.5,38.5,4.953438956985304,20.19095382446901,0.04450452663741998
54,126,55,3,0.0011750065764843942,-1.512819513340949,56.35045177779971,16.6,31.2,4.924228689243383,14.338510598700184,0.04462460191509305
55,126,56,3,0.00037698314532885746,-0.7256352742450657,56.39940501541963,43.3,25.0,6.044761003469974,18.947197206855215,0.04023797823291904
56,126,57,3,0.00023269588986174483,-0.2509650150191581,19.97975919731295,77.9,0.4,5.443363354116952,16.708388996404068,0.212562558003621
57,126,58,3,0.023885802186679905,-0.4637485628278889,32.99256369680048,45.2,12.0,9.423696948566201,15.631656039318425,0.07259143537274844
58,126,59,3,0.03549365231308543,-0.5556707478173203,44.564796088265204,37.2,23.9,4.234716945819202,17.513686211225526,0.05068518053199382
59,126,60,3,0.01224147691898625,-0.662162393149834,46.526452976666576,31.0,26.0,5.213420150602,16.85241914590328,0.042442772728549426
60,126,61,3,0.0036508308488878427,-0.6129832640746252,44.784628485448174,42.0,19.0,4.411995634987118,17.091183716503423,0.045116125589792146
61,126,62,3,0.07276618533830381,-2.913621498990455,82.66311808061302,10.3,52.6,9.88878273193659,16.42236457340445,0.12371582914724016
62,126,63,3,0.09254492732133723,-0.3174699340540985,24.41079965034283,48.0,9.2,6.563280159265616,15.245051994981079,0.14556956429792853
63,126,64,3,0.0038963853628410927,-0.625715827,37.92609117,33.7,16.8,4.798803696676885,14.88924737223815,0.046180559152670254
64,126,65,3,,-1.5597846277285476,81.18417213340767,,,,,0.04190341375299518
65,126,66,3,0.0002985689429384486,-0.7448674337942885,55.01221523662917,35.6,28.5,2.156300062939501,18.394541036501757,0.04078418343697844
66,126,67,3,0.027377513199477344,-0.3535587271229315,31.16778071213836,66.8,7.6,5.58632446897626,17.956117408882616,0.11588290082395779
