Subject,block,obs,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty,logMMI
122,1,13.0,0.016290058625582027,-1.1719685324534035,55.9670313906221,35.666666666666664,30.625,5.651433868520684,20.20698915353674,0.12826519391136051,-4.1172002575052895
122,2,38.0,0.011018068550904267,-1.9315287764110909,54.50656427216689,31.851999999999997,35.796,5.553906314240745,18.96517865354605,0.21434472083844597,-4.508218758231575
122,3,63.0,0.009848671302737557,-1.5135875978438493,52.915730261142286,37.775999999999996,29.584,4.645353366735753,19.640747533787813,0.21166526578760794,-4.620418726020126
123,1,13.0,0.04591381789714237,-1.632136454047465,51.537290943043715,31.452173913043477,37.62173913043478,6.086368220165276,20.041796282851056,0.2677520231097464,-3.080989163709416
123,2,38.0,0.030227197201859908,-1.4738970770452338,57.714099428558384,30.252,40.864000000000004,5.498330796131862,20.22071109618689,0.18688386305867252,-3.499013190272806
123,3,63.0,0.01861570861093242,-1.511051375615645,54.13793555232918,31.664,39.672000000000004,5.527465451949389,19.917576202506538,0.21631825393120266,-3.9837495057189374
124,1,13.0,0.06682436207714884,-0.9832181675713376,46.51076980589219,36.251999999999995,24.804000000000002,6.55920601442024,13.074116009346856,0.09076478310595863,-2.7056875631733317
124,2,38.0,0.016830524671446537,-1.4940279647821746,52.34992522046516,37.436,28.112,6.9330853184934975,14.003917005043439,0.10755452807821614,-4.084561096491338
124,3,63.0,0.017686144689189203,-2.139838774354832,64.52863089757393,23.454166666666666,43.416666666666664,5.073758806373241,14.318912609620824,0.08678719840552089,-4.034973731860746
125,1,13.0,0.019679789225181783,-1.3822293124124758,53.934271599282255,34.362500000000004,31.758333333333336,5.306569568273259,16.594820734792904,0.10757119887215369,-3.928163097517935
125,2,38.0,0.010678307537527272,-1.727587494170843,59.24551228517491,38.804,33.568000000000005,6.541592734638309,18.000203079644542,0.15915350196274045,-4.53954092827681
125,3,63.0,0.027480674031209452,-1.5072681001250252,50.20954203947411,33.312,29.736,5.723752631157921,15.792100578298113,0.16969534532083608,-3.594272283864406
126,1,13.0,0.01714003736687751,-2.133225522458372,57.360850114684624,29.488000000000003,38.592,5.746606715659862,16.620469427877683,0.20173026611994208,-4.066338185717009
126,2,38.0,0.013884050324749935,-1.3838404386593464,57.19956995363389,37.228,33.884,6.462218253662792,17.665222892435587,0.13868641839355586,-4.277014556331292
