,Feature,Beta,Node1,Node2
3130,LH_DorsAttn_Post_5__LH_SomMot_2,0.0,20.0,11.0
3129,LH_DorsAttn_Post_5__LH_SomMot_3,0.0,20.0,12.0
3128,LH_DorsAttn_Post_5__LH_SomMot_4,0.0,20.0,13.0
3127,LH_DorsAttn_Post_5__LH_SomMot_5,0.0,20.0,14.0
3126,LH_DorsAttn_Post_5__LH_SomMot_6,0.0,20.0,15.0
3142,LH_DorsAttn_Post_6__LH_DorsAttn_Post_2,0.0,21.0,17.0
3143,LH_DorsAttn_Post_5__LH_DorsAttn_Post_2,0.0,20.0,17.0
3144,LH_DorsAttn_Post_5__LH_DorsAttn_Post_4,0.0,20.0,19.0
3145,LH_DorsAttn_Post_6__LH_SomMot_6,0.0,21.0,15.0
3160,LH_DorsAttn_Post_5__LH_DorsAttn_Post_3,0.0,20.0,18.0
3159,LH_DorsAttn_Post_6__LH_Vis_1,0.0,21.0,1.0
3158,LH_DorsAttn_Post_6__LH_Vis_2,0.0,21.0,2.0
3157,LH_DorsAttn_Post_6__LH_Vis_3,0.0,21.0,3.0
3156,LH_DorsAttn_Post_6__LH_Vis_4,0.0,21.0,4.0
3155,LH_DorsAttn_Post_6__LH_Vis_5,0.0,21.0,5.0
3154,LH_DorsAttn_Post_6__LH_Vis_6,0.0,21.0,6.0
3153,LH_DorsAttn_Post_6__LH_Vis_7,0.0,21.0,7.0
3152,LH_DorsAttn_Post_6__LH_Vis_8,0.0,21.0,8.0
3151,LH_DorsAttn_Post_6__LH_Vis_9,0.0,21.0,9.0
3150,LH_DorsAttn_Post_6__LH_SomMot_1,0.0,21.0,10.0
3149,LH_DorsAttn_Post_6__LH_SomMot_2,0.0,21.0,11.0
3148,LH_DorsAttn_Post_6__LH_SomMot_3,0.0,21.0,12.0
3147,LH_DorsAttn_Post_6__LH_SomMot_4,0.0,21.0,13.0
3146,LH_DorsAttn_Post_6__LH_SomMot_5,0.0,21.0,14.0
3125,LH_DorsAttn_Post_6__LH_DorsAttn_Post_1,0.0,21.0,16.0
3124,LH_DorsAttn_Post_6__LH_DorsAttn_Post_3,0.0,21.0,18.0
3123,LH_DorsAttn_FEF_1__LH_SomMot_4,0.0,23.0,13.0
3104,LH_DorsAttn_Post_6__LH_DorsAttn_Post_4,0.0,21.0,19.0
3102,LH_DorsAttn_Post_6__LH_DorsAttn_Post_5,0.0,21.0,20.0
3101,LH_DorsAttn_PrCv_1__LH_Vis_1,0.0,22.0,1.0
3100,LH_DorsAttn_PrCv_1__LH_Vis_2,0.0,22.0,2.0
3099,LH_DorsAttn_PrCv_1__LH_Vis_3,0.0,22.0,3.0
3098,LH_DorsAttn_PrCv_1__LH_Vis_4,0.0,22.0,4.0
3097,LH_DorsAttn_PrCv_1__LH_Vis_5,0.0,22.0,5.0
3096,LH_DorsAttn_PrCv_1__LH_Vis_6,0.0,22.0,6.0
3095,LH_DorsAttn_PrCv_1__LH_Vis_7,0.0,22.0,7.0
3094,LH_DorsAttn_PrCv_1__LH_Vis_8,0.0,22.0,8.0
3093,LH_DorsAttn_PrCv_1__LH_Vis_9,0.0,22.0,9.0
3092,LH_DorsAttn_PrCv_1__LH_SomMot_1,0.0,22.0,10.0
3091,LH_DorsAttn_PrCv_1__LH_SomMot_2,0.0,22.0,11.0
3090,LH_DorsAttn_PrCv_1__LH_SomMot_3,0.0,22.0,12.0
3089,LH_DorsAttn_PrCv_1__LH_SomMot_4,0.0,22.0,13.0
3088,LH_DorsAttn_PrCv_1__LH_SomMot_5,0.0,22.0,14.0
3103,LH_DorsAttn_PrCv_1__LH_SomMot_6,0.0,22.0,15.0
3105,LH_DorsAttn_PrCv_1__LH_DorsAttn_Post_1,0.0,22.0,16.0
3122,LH_DorsAttn_PrCv_1__LH_DorsAttn_Post_2,0.0,22.0,17.0
3106,LH_DorsAttn_PrCv_1__LH_DorsAttn_Post_3,0.0,22.0,18.0
3121,LH_DorsAttn_PrCv_1__LH_DorsAttn_Post_4,0.0,22.0,19.0
3120,LH_DorsAttn_PrCv_1__LH_DorsAttn_Post_5,0.0,22.0,20.0
3119,LH_DorsAttn_PrCv_1__LH_DorsAttn_Post_6,0.0,22.0,21.0
3118,LH_DorsAttn_FEF_1__LH_Vis_1,0.0,23.0,1.0
3117,LH_DorsAttn_FEF_1__LH_Vis_2,0.0,23.0,2.0
3116,LH_DorsAttn_FEF_1__LH_Vis_3,0.0,23.0,3.0
3115,LH_DorsAttn_FEF_1__LH_Vis_4,0.0,23.0,4.0
3114,LH_DorsAttn_FEF_1__LH_Vis_5,0.0,23.0,5.0
3113,LH_DorsAttn_FEF_1__LH_Vis_6,0.0,23.0,6.0
3112,LH_DorsAttn_FEF_1__LH_Vis_7,0.0,23.0,7.0
3111,LH_DorsAttn_FEF_1__LH_Vis_8,0.0,23.0,8.0
3110,LH_DorsAttn_FEF_1__LH_Vis_9,0.0,23.0,9.0
3109,LH_DorsAttn_FEF_1__LH_SomMot_1,0.0,23.0,10.0
3108,LH_DorsAttn_FEF_1__LH_SomMot_2,0.0,23.0,11.0
3107,LH_DorsAttn_FEF_1__LH_SomMot_3,0.0,23.0,12.0
3161,LH_DorsAttn_FEF_1__LH_SomMot_5,0.0,23.0,14.0
3162,LH_DorsAttn_FEF_1__LH_SomMot_6,0.0,23.0,15.0
3163,LH_DorsAttn_FEF_1__LH_DorsAttn_Post_1,0.0,23.0,16.0
3219,LH_SalVentAttn_ParOper_1__LH_SomMot_3,0.0,24.0,12.0
3217,LH_SalVentAttn_ParOper_1__LH_SomMot_1,0.0,24.0,10.0
3216,LH_DorsAttn_FEF_1__LH_DorsAttn_Post_2,0.0,23.0,17.0
3215,LH_DorsAttn_FEF_1__LH_DorsAttn_Post_3,0.0,23.0,18.0
3214,LH_DorsAttn_FEF_1__LH_DorsAttn_Post_4,0.0,23.0,19.0
3213,LH_DorsAttn_FEF_1__LH_DorsAttn_Post_5,0.0,23.0,20.0
3212,LH_DorsAttn_FEF_1__LH_DorsAttn_Post_6,0.0,23.0,21.0
3211,LH_DorsAttn_FEF_1__LH_DorsAttn_PrCv_1,0.0,23.0,22.0
3210,LH_SalVentAttn_ParOper_1__LH_Vis_1,0.0,24.0,1.0
3209,LH_SalVentAttn_ParOper_1__LH_Vis_2,0.0,24.0,2.0
3208,LH_SalVentAttn_ParOper_1__LH_Vis_3,0.0,24.0,3.0
3207,LH_SalVentAttn_ParOper_1__LH_Vis_4,0.0,24.0,4.0
3206,LH_SalVentAttn_ParOper_1__LH_Vis_5,0.0,24.0,5.0
3205,LH_SalVentAttn_ParOper_1__LH_Vis_6,0.0,24.0,6.0
3204,LH_SalVentAttn_ParOper_1__LH_Vis_7,0.0,24.0,7.0
3203,LH_SalVentAttn_ParOper_1__LH_Vis_8,0.0,24.0,8.0
3218,LH_SalVentAttn_ParOper_1__LH_SomMot_2,0.0,24.0,11.0
3220,LH_SalVentAttn_ParOper_1__LH_SomMot_4,0.0,24.0,13.0
3201,LH_SalVentAttn_FrOperIns_1__LH_Vis_7,0.0,25.0,7.0
3221,LH_SalVentAttn_FrOperIns_1__LH_Vis_6,0.0,25.0,6.0
3236,LH_SalVentAttn_ParOper_1__LH_SomMot_5,0.0,24.0,14.0
3235,LH_SalVentAttn_ParOper_1__LH_SomMot_6,0.0,24.0,15.0
3234,LH_SalVentAttn_ParOper_1__LH_DorsAttn_Post_1,0.0,24.0,16.0
3233,LH_SalVentAttn_ParOper_1__LH_DorsAttn_Post_2,0.0,24.0,17.0
3232,LH_SalVentAttn_ParOper_1__LH_DorsAttn_Post_3,0.0,24.0,18.0
3231,LH_SalVentAttn_ParOper_1__LH_DorsAttn_Post_4,0.0,24.0,19.0
3230,LH_SalVentAttn_ParOper_1__LH_DorsAttn_Post_5,0.0,24.0,20.0
3229,LH_SalVentAttn_ParOper_1__LH_DorsAttn_PrCv_1,0.0,24.0,22.0
3228,LH_DorsAttn_Post_4__LH_DorsAttn_Post_3,0.0,19.0,18.0
3227,LH_SalVentAttn_ParOper_1__LH_DorsAttn_FEF_1,0.0,24.0,23.0
3226,LH_SalVentAttn_FrOperIns_1__LH_Vis_1,0.0,25.0,1.0
3225,LH_SalVentAttn_FrOperIns_1__LH_Vis_2,0.0,25.0,2.0
3224,LH_SalVentAttn_FrOperIns_1__LH_Vis_3,0.0,25.0,3.0
3391,LH_DorsAttn_Post_1__LH_SomMot_3,0.0,16.0,12.0
3222,LH_SalVentAttn_FrOperIns_1__LH_Vis_5,0.0,25.0,5.0
3202,LH_SalVentAttn_ParOper_1__LH_Vis_9,0.0,24.0,9.0
3200,LH_SalVentAttn_FrOperIns_1__LH_Vis_8,0.0,25.0,8.0
3164,LH_SalVentAttn_FrOperIns_2__LH_Vis_1,0.0,26.0,1.0
3181,LH_SalVentAttn_FrOperIns_2__LH_Vis_3,0.0,26.0,3.0
3179,LH_SalVentAttn_FrOperIns_2__LH_Vis_2,0.0,26.0,2.0
3178,LH_SalVentAttn_FrOperIns_1__LH_SomMot_2,0.0,25.0,11.0
3177,LH_SalVentAttn_FrOperIns_1__LH_SomMot_3,0.0,25.0,12.0
3176,LH_SalVentAttn_FrOperIns_1__LH_SomMot_4,0.0,25.0,13.0
3175,LH_SalVentAttn_FrOperIns_1__LH_SomMot_5,0.0,25.0,14.0
3174,LH_SalVentAttn_FrOperIns_1__LH_SomMot_6,0.0,25.0,15.0
3173,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_Post_1,0.0,25.0,16.0
3172,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_Post_2,0.0,25.0,17.0
3171,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_Post_3,0.0,25.0,18.0
3170,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_Post_4,0.0,25.0,19.0
3169,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_Post_5,0.0,25.0,20.0
3168,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_Post_6,0.0,25.0,21.0
3167,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_PrCv_1,0.0,25.0,22.0
3166,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_FEF_1,0.0,25.0,23.0
3165,LH_SalVentAttn_FrOperIns_1__LH_SalVentAttn_ParOper_1,0.0,25.0,24.0
3180,LH_SalVentAttn_FrOperIns_1__LH_SomMot_1,0.0,25.0,10.0
3182,LH_SalVentAttn_FrOperIns_2__LH_Vis_5,0.0,26.0,5.0
3199,LH_SalVentAttn_FrOperIns_1__LH_Vis_9,0.0,25.0,9.0
3183,LH_SalVentAttn_FrOperIns_2__LH_DorsAttn_Post_5,0.0,26.0,20.0
3198,LH_SalVentAttn_FrOperIns_2__LH_Vis_4,0.0,26.0,4.0
3197,LH_SalVentAttn_FrOperIns_2__LH_Vis_6,0.0,26.0,6.0
3196,LH_SalVentAttn_FrOperIns_2__LH_Vis_7,0.0,26.0,7.0
3195,LH_SalVentAttn_FrOperIns_2__LH_Vis_8,0.0,26.0,8.0
3194,LH_SalVentAttn_FrOperIns_2__LH_Vis_9,0.0,26.0,9.0
3193,LH_SalVentAttn_FrOperIns_2__LH_SomMot_1,0.0,26.0,10.0
3192,LH_SalVentAttn_FrOperIns_2__LH_SomMot_2,0.0,26.0,11.0
3191,LH_SalVentAttn_FrOperIns_2__LH_SomMot_3,0.0,26.0,12.0
3190,LH_SalVentAttn_FrOperIns_2__LH_SomMot_4,0.0,26.0,13.0
3189,LH_SalVentAttn_FrOperIns_2__LH_SomMot_5,0.0,26.0,14.0
3188,LH_SalVentAttn_FrOperIns_2__LH_SomMot_6,0.0,26.0,15.0
3187,LH_SalVentAttn_FrOperIns_2__LH_DorsAttn_Post_1,0.0,26.0,16.0
3186,LH_SalVentAttn_FrOperIns_2__LH_DorsAttn_Post_2,0.0,26.0,17.0
3185,LH_SalVentAttn_FrOperIns_2__LH_DorsAttn_Post_3,0.0,26.0,18.0
3184,LH_SalVentAttn_FrOperIns_2__LH_DorsAttn_Post_4,0.0,26.0,19.0
3390,LH_DorsAttn_Post_1__LH_Vis_4,0.0,16.0,4.0
3407,LH_Limbic_TempPole_2__LH_DorsAttn_FEF_1,0.0,33.0,23.0
3392,LH_Cont_pCun_1__LH_Cont_Par_1,0.0,36.0,34.0
3593,LH_SalVentAttn_PFCl_1__LH_Vis_7,0.0,27.0,7.0
3600,LH_SalVentAttn_FrOperIns_2__LH_SalVentAttn_FrOperIns_1,0.0,26.0,25.0
3599,LH_SalVentAttn_PFCl_1__LH_Vis_1,0.0,27.0,1.0
