,Feature,Beta,Count
171,PALLIDUM_LEFT__LH_Default_Temp_7,0.005153922188607114,29.0
172,PALLIDUM_LEFT__RH_Default_Par_3,0.005052783466995926,30.0
173,BRAIN_STEM__RH_SomMot_4,0.0027458696382876525,30.0
174,LH_Default_Temp_5__LH_Limbic_OFC_4,0.003418178305830267,30.0
175,LH_Default_pCunPCC_3__LH_SalVentAttn_FrOperIns_8,0.011644167804297788,31.0
176,PALLIDUM_LEFT__RH_Default_Par_2,0.003639725817662985,31.0
177,LH_Default_Par_7__LH_Limbic_OFC_4,0.007551725886015667,31.0
178,RH_Limbic_OFC_2__LH_Default_PFC_3,0.005595068072880432,31.0
179,LH_Default_PFC_3__LH_Limbic_OFC_4,0.00720703065179994,31.0
180,PALLIDUM_LEFT__LH_SomMot_6,0.0055572906050756305,32.0
181,LH_Cont_PFCl_2__LH_Limbic_OFC_4,0.009591729157840633,33.0
182,RH_Default_Par_1__LH_Limbic_TempPole_4,0.006383594560132118,33.0
183,LH_Cont_PFCl_5__LH_Limbic_OFC_4,0.008377630252285898,34.0
184,LH_Default_Temp_2__LH_Limbic_OFC_4,0.008968476282534705,34.0
185,RH_SomMot_39__LH_Limbic_OFC_4,0.6314540822301986,34.0
