Subject,ConvMMI,PCC,SMA,VSTR,Kolling,M1,VMPFC
101,0.0225932108024462,7920.67884397817,9341.19267800915,5634.16960880831,9897.34065188554,12470.1098691935,9640.63076021299
101,0.0121275413240354,7870.19916140239,9341.17353771638,5624.16292225112,9873.48907944731,12501.2020870546,9635.11633882776
101,0.00509904804331271,7881.20403514649,9368.4649724405,5617.02908124233,9859.09776504754,12567.1433654959,9666.58466840463
101,0.000876772825537754,7902.76401679526,9385.22886593284,5606.43023203325,9901.64894382699,12588.2397177498,9643.86635566846
101,-0.00134072058116396,7891.36335851599,9388.15633325308,5604.63649408923,9909.88436704941,12585.4257301265,9673.81257063188
101,-0.00234822641716325,7905.58630392762,9420.54500884124,5616.19228239226,9924.18497516487,12628.7844280015,9716.35440946994
101,-0.00261552038433407,7881.2490263747,9450.31933007461,5625.80057693718,9944.93059867937,12658.6898619388,9679.06036945327
101,-0.00250338538484537,7850.47244929785,9465.01358608134,5632.44103248671,9963.81000288732,12687.8946508859,9660.19854868825
101,-0.00228467154032706,7874.89773453037,9475.74116530465,5631.66721802886,9983.1162768437,12680.4308149984,9675.04068861822
101,-0.00213995463358925,7897.40173024456,9451.70459668379,5634.76104289264,9995.59925264462,12668.0497318279,9716.67281481015
101,-0.00210156244662826,7896.85482234151,9393.70655733284,5605.55739273508,9943.45080102186,12588.8368921524,9720.3006580157
101,-0.0021119454148528,7908.40942262436,9371.98042985948,5601.56761657081,9904.11011722935,12536.3185113543,9688.01325838627
101,-0.00195501866266854,7919.148027207,9400.63128599816,5615.33176172653,9960.62059317672,12531.3914266298,9714.87929229829
101,-0.000127118974946823,7912.10870461241,9390.3961047527,5616.97021748273,9959.95447555403,12541.0356057539,9703.94449582509
101,0.00492211689862582,7909.33759404815,9397.17962076074,5620.80983240515,9919.99253272295,12570.1519464129,9709.80821106985
101,0.0127056088424323,7911.15786578047,9410.87865111645,5624.6558044286,9957.49293025241,12610.9926582184,9681.03911242772
101,0.0212508664476115,7891.11379184112,9428.29211364709,5629.68083754089,9923.57837293285,12653.5137449085,9683.4715465469
101,0.027386549225534,7905.39155612419,9462.6261020284,5652.71479353988,10005.9162677424,12688.8928631296,9721.34523921323
101,0.0286601788774822,7931.60491552937,9463.94405021919,5648.59592896636,10019.1492215746,12678.0465336552,9751.77833695507
101,0.0253816735824029,7923.02562865047,9425.58499924173,5635.40428847192,10005.7713211787,12620.7958575735,9773.67164784867
101,0.0196159010759545,7925.24026149995,9436.45970316565,5660.75147088563,9984.34300463226,12574.4461167382,9780.95786734125
101,0.0134525639901499,7916.33380860852,9423.49592939357,5640.82864085168,9934.43079692103,12550.47374984,9749.16232622378
101,0.0082692305018757,7950.85105187678,9420.30107126776,5636.38232262147,9955.31207945568,12587.9149580301,9732.51780478102
101,0.00444398288427565,7961.06197611926,9405.96717600873,5624.93068239649,10012.4530392173,12618.8598577168,9761.79697485545
101,0.00196369611522164,7965.95961004654,9408.78687407757,5637.05297695307,9985.81206847131,12664.3843597673,9770.5462213827
101,0.000550515236529886,7986.98682359677,9453.72425799229,5662.48862327605,10045.9177051252,12732.029681866,9807.45471327618
101,-0.000234096263039801,7947.46827619609,9417.20912352099,5651.95954550606,10023.6518368999,12698.6966768357,9796.10339556071
101,-0.000567500998186229,7944.03250683228,9431.90384787513,5658.3965743782,10025.8250833766,12690.1192618259,9809.92565851101
101,-0.000689989408675305,7952.53101296964,9453.69919129212,5652.20022781366,10073.7643194296,12684.3924202335,9817.79867428025
101,-0.000764731857238463,7953.51601807106,9441.63295731345,5626.89651986237,9996.40090479797,12675.1724324892,9788.18240677781
101,-0.000848053211128417,7965.77091982288,9443.64212355538,5652.80021060471,9988.61594574351,12674.6082238526,9800.51223615576
101,-0.000776575534710812,7977.48184104791,9483.90318116651,5635.85283268405,10029.2853999983,12668.4295522141,9798.49419253398
101,0.000965862675336082,7970.07622410257,9463.85022019071,5657.70184106546,10019.8812793963,12660.8814224287,9765.36841865427
101,0.0059646172317848,7925.47020386537,9453.30179680074,5648.1672160149,9974.72119637537,12636.2304664894,9749.48530629074
101,0.0137361250538715,7923.63457472311,9449.6071329321,5644.76623828569,10009.8756559236,12683.9666064662,9780.44061889772
101,0.0224401792178032,7910.66117518521,9426.34713836114,5656.41676648503,9960.75179359015,12674.8263228109,9725.47594097909
101,0.0302005078245224,7892.60883991617,9452.26278472161,5648.16231979915,9955.19908484534,12686.5832300431,9698.88898313077
101,0.0346081484693153,7905.03638624623,9464.86270590479,5645.18260100637,9953.12648812015,12718.9386516691,9708.39470203451
101,0.0339272527898634,7913.29175750048,9456.60450870132,5636.49725566631,9996.08910099759,12704.0674650622,9735.18534795661
101,0.0289014088326264,7913.92442915938,9422.36312519934,5628.02645114882,9983.48024958573,12672.963119985,9727.08143627796
101,0.0217989185204177,7912.80863641161,9398.64579499653,5627.45791301746,9958.21100968298,12617.0390539794,9707.36904334519
101,0.014982927391763,7911.07792371359,9407.21541069173,5614.952349903,9927.66303990777,12550.4773382203,9677.66583582576
101,0.00994168992524548,7891.17669067423,9400.22598402792,5621.31201991349,9902.55220189475,12516.4141211007,9666.95004226025
101,0.0069596786558037,7898.50839918544,9419.77051660684,5609.23971143974,9949.33877198966,12580.4221055773,9695.34563903127
101,0.00561739507876337,7894.50784366962,9466.71288476211,5647.32808451245,9996.7709571254,12625.9166430177,9717.44450345294
101,0.00521458494993284,7924.79476806528,9487.12737056296,5651.74458487691,10007.4328295519,12680.0259811532,9747.31193514309
101,0.00498995060685811,7958.31265966806,9514.05114416306,5653.63266923102,10064.2785274463,12686.8117580142,9792.35105678367
101,0.00436530001089175,7946.28417721576,9489.70756858412,5645.94620405948,10039.5105256386,12683.6056469866,9780.06598879875
101,0.00324312193952339,7970.94456566498,9456.81105479694,5637.40255466028,10039.2764812157,12675.7785665398,9791.69315738566
101,0.00219158880592805,7976.23979893123,9463.73679911072,5625.19541771207,10003.3449504344,12640.8232773131,9775.03204042323
101,0.00398492733540711,7954.22575205777,9456.5605922147,5628.5551419606,10014.4510583699,12594.3699469498,9752.92533209861
101,0.0114025028916485,7943.67595003462,9470.02433090714,5616.03534597897,10003.2005033978,12657.8734508199,9735.07079176652
101,0.0236789188366511,7982.78657679501,9485.59624563801,5650.38906959747,10048.5699678001,12730.6413360335,9762.47968268554
101,0.0377230683816118,7945.29084305252,9490.61008245572,5641.84845190329,10031.165613911,12760.3400871951,9760.24966368131
