Subject,block_vec,SMA__PCC,VSTR__PCC,VSTR__SMA,Kolling__PCC,Kolling__SMA,Kolling__VSTR,M1__PCC,M1__SMA,M1__VSTR,M1__Kolling,VMPFC__PCC,VMPFC__SMA,VMPFC__VSTR,VMPFC__Kolling,VMPFC__M1
122,1,0.327788227859826,0.500174110914006,0.678785648809421,0.514695487180142,0.395722899673931,0.379632495486351,0.100671096516022,1.18829573205593,0.584839009037145,0.102498753723035,0.640241385065249,-0.139323311633847,0.174841484969244,0.436160634519993,-0.249419563049592
123,1,0.248266771113994,0.336846551415549,0.751411325257702,0.420076604401504,0.778534346482141,0.526861757715708,0.110828516835805,1.06732103105868,0.582972283103608,0.440902726349089,0.687685654450358,0.219717725484506,0.297200720908713,0.510870944215128,-0.0174567105102019
124,1,0.670171394799248,0.437980505755639,0.558804682232934,0.524471357181998,0.744646450848868,0.83302168844759,0.40757325422578,0.773059201358737,0.0915670409357706,0.0809385670511495,0.0390025399569453,-0.0285902401616513,-0.143344856620798,-0.176057144283884,0.101198630481513
126,1,0.302107832667629,0.48725878637984,0.553775869975121,0.435640926705697,0.640081064595847,0.497857816810844,0.14748690611596,0.899022220956225,0.272244134870249,0.169593452622623,0.726958433050765,0.205347782220366,0.48343265769286,0.644274120544806,-0.071331500201726
127,1,0.401934020549569,0.487112420460162,1.05920752967135,0.439608560381677,1.04760932181432,0.92683501514269,0.182168111416989,0.713535521757475,0.321421188283006,0.217893815404706,0.617997355535167,0.747920425045188,0.995921653815296,1.22320777091083,0.0427162198141035
128,1,0.67322250317355,0.709080425525794,0.935277203621896,0.640633292516423,0.748982207811628,0.650717408076685,0.507543770786543,1.43901515171819,0.738915556418204,0.573243555154403,0.927242497710733,0.26978393182419,0.499403290948038,0.497084242883816,0.103681189921794
129,1,0.218925140673513,0.217511189991326,0.435386184566904,0.536775331822294,0.311039915712462,0.209813987209054,0.0463985068144453,0.615224330139258,0.469466806539517,0.0152744300590597,0.762775867843702,0.113901236431163,0.322102728026355,0.606729019307549,0.0948481794798291
130,1,0.43697089740158,0.436738873080942,0.607927075884577,0.698830538145458,0.67215310178677,0.476842058458787,0.229233362002641,0.898745217256074,0.480967835371751,0.28056663736786,0.809761929870333,0.258902017586784,0.372458133481468,0.704008934950692,-0.0489413789906281
131,1,0.486220941978788,0.310788612936687,0.510305701285519,0.700094728339078,0.648807396061644,0.493866228832941,0.313159594602014,0.853846635677271,0.256886126192058,0.237982638702554,0.57961424334515,0.0156466724935024,0.243571013230452,0.513338746909732,-0.0669899594815048
132,1,0.785050942248577,0.70929162887742,0.851145233958625,0.90652594154891,1.32046731940868,0.99039616354049,0.445314560018188,0.824151679585112,0.508641374152658,0.593332875965138,0.921522805470604,0.745660392912931,0.963933374275436,1.15942334934477,0.334512900015019
133,1,0.17027241075889,0.279004711225351,0.532144147910883,0.506097388428327,0.44580522778655,0.372532742967011,-0.0938808694690856,0.602236324290758,0.363219837522739,-0.0481837990205574,0.678171546216662,-0.0305728139161806,0.355330913882713,0.497620807804206,-0.261798862742846
134,1,0.543611472177926,0.442020921837281,1.01978185701656,0.499887332075886,0.922699452050468,0.759063495530631,0.410498083907033,0.980852780070813,0.869873346739556,0.524610342302167,0.534144253871186,0.732717126701787,0.831858123204531,1.20360007656618,0.676517470188709
135,1,-0.123843818012188,0.0223806591148847,0.436671887507929,0.229595129485373,0.616308449792728,0.220571393448287,-0.239769676556242,0.935971933779723,0.262819316707563,0.176239842851912,0.589706714556829,0.162939418316462,0.171383059145169,0.618739674958433,-0.157383999412949
136,1,0.156824719658142,0.104776452058285,0.608890775142302,0.737901984304029,0.303764521294068,0.168336876193851,-0.123578291288233,0.76386043732686,0.525273245350236,-0.114249555040104,0.649936270195333,0.345587733024722,0.336757356406634,0.888358710610064,-0.0686708785993771
137,1,0.416106505099778,0.568359506437051,1.04145227880893,0.439621605888393,0.84258865857208,0.984644815240449,0.598838055895125,1.1941546449426,0.847212969250739,0.466742130835649,0.59010407189326,0.535102852979815,0.785938437865784,1.17353047002446,0.309676779572286
138,1,0.35871829653096,0.383404568943662,0.753497397884677,0.60577986072537,0.779505138431153,0.645431407095791,0.285249834270123,0.7737382387696,0.531109659859401,0.335271085981254,0.551324437012458,0.384383570015736,0.56324053526795,0.824978548430141,0.0549301670038543
139,1,0.462298946712708,0.415781846803025,0.688683924835974,0.644143251441315,0.786528456392258,0.587807904405943,0.357211801645178,1.22314160668074,0.484885451319041,0.451945062085382,0.944067032266773,0.262332761459827,0.532308621640931,0.640095898193805,0.111627152619391
140,1,0.257394203334043,0.450892877740761,0.564963864551972,0.334462812379659,0.631658226818992,0.532285050049895,0.189762573553312,1.07391142435078,0.495374066616622,0.33789554066314,0.61193141254793,0.0993489503808774,0.349949747891065,0.461820921522623,-0.050140419373788
141,1,0.619201176188063,0.614705016629477,0.855027580908364,0.592720725222758,1.01568905420181,0.855409487996487,0.564810053072842,1.41661077443655,0.678336041592756,0.729745518516024,0.748127495098538,0.463169538677667,0.690650234884235,0.817017161457414,0.352428139338975
142,1,0.894314351814732,0.603868118241615,0.639783035152123,0.73719818946493,0.719311627891476,0.573100387227119,0.648355521002996,1.00163513026456,0.485497508418745,0.359078521355727,0.381672812207319,0.0570649982360235,0.329546028838411,0.427909701894441,-0.126962578168478
144,1,0.69952465004927,0.866724970474336,0.643272215252816,0.887621653068564,1.1373972422745,0.714909667376517,0.555107175169662,1.20002707248675,0.531525711398435,0.654721428130487,0.898382722075175,0.338901417574128,0.609984675703522,0.721033761801635,0.237794689666286
145,1,0.326603175306594,0.425393741030553,0.654009783806305,0.199213458148342,0.688982783464133,0.232699162392324,0.0374165211017952,0.860839277908093,0.429704669331091,0.323897235688641,0.482368391884045,0.152608352011594,0.189397685900825,0.648021199568811,-0.0157235965643648
146,1,0.519194362851127,0.583249144129214,0.747395864073089,0.346898790061182,0.648461662266223,0.478307428241995,0.524395917214542,1.5517549964564,0.750549550040868,0.580600120394603,0.483151414579456,0.00489193651239144,0.295951114461409,0.343645985117141,-0.0260383108447659
147,1,0.615402100621393,0.61981618541632,0.639160199209039,0.677952035723128,0.697395485580575,0.641039656229549,0.412693994106103,1.20432079342773,0.482965397887533,0.405652802739675,0.605988031698526,0.209235342271101,0.501072458090236,0.618505999506876,-0.0118806605219151
148,1,0.663886918594958,0.603000838492263,1.00673779103904,0.867501334118252,0.979898658395765,0.793907138786154,0.330407655279512,0.966348400479956,0.634366857384979,0.368026030340747,0.860564738198842,0.524826324618772,0.615483345955721,1.0638114144453,0.0562002653636201
101,2,0.620154926593915,0.64339285797488,0.60636218919949,0.848616731545976,0.694727431527509,0.735369677939227,0.437360417707568,1.01997518913712,0.305010173942619,0.267943947061812,1.04790981832037,0.454029280489852,0.636531285687857,1.20104317184036,0.131967678126788
102,2,0.633193209356222,0.470358846217854,0.474513757169059,0.602757878473285,0.481556632088866,0.498855803156487,0.454595585184818,1.02473000714721,0.31674107571074,0.140445757939541,0.482861225378414,0.101428830941715,0.556015389492804,0.774304366118137,-0.103737598432751
105,2,0.454489347465946,0.445912228194217,0.716110470049189,0.520203290877875,0.834608992006569,0.714211273023863,0.215469920986535,0.930951040746346,0.381510061583812,0.293727267312225,0.547727258916677,0.461951007469142,0.669708875980317,1.15824982003361,0.123291167319885
106,2,0.0916899137719247,0.490536239110901,0.426674584530603,0.386203400039448,0.486020055979947,0.4779816266962,0.0964465616157383,1.57951287949406,0.394539659411137,0.297063140724004,1.03342554457497,-0.264953816281161,0.386421342173941,0.265540124405337,-0.254225285847249
